Corresponding Authors,Pubs Num
"Abbas, Hamed K",3
"Abel, Craig A",1
"Adams, Curtis B",1
"Adeli, Ardeshir",1
"Adhikari, Kabindra",1
"Adhikari, Neil D",1
"Adhikari, Tika B",1
"Adireddy, Rajanna G",3
"Adler, Paul R",1
"AdmassuYimer, Belayneh",1
"AgyinBirikorang, Sampson",1
"Ainsworth, Elizabeth A",19
"Ajayi, Oyeyemi",2
"Akumaga, Uvirkaa",1
"Ali, Gul Shad",3
"Allen, Brendan S",1
"Allen, Doug K",7
"Allen, Kerry C",1
"Allen, Leon Hartwell",1
"Altland, James E",2
"Ammar, ElDesouky",1
"An, Yongqiang Charles",3
"Anapalli, Saseendran S",3
"Anderson, William F",1
"Andorf, Carson M",1
"Angelella, Gina M",2
"Anglin, Noelle L",1
"Arathi, H S",2
"Arelli, Prakash R",2
"Armstrong, J Scott",1
"Artlip, Timothy S",2
"Ashworth, Amanda J",6
"Assefa, Teshale",1
"Augustine, David J",2
"Babiker, Ebrahiem",6
"Bai, Fang",3
"Bai, Guihua",5
"Bai, Jinhe",4
"Baik, ByungKee",3
"BajsaHirschel, Joanna",2
"Baldwin, Thomas",1
"Baligar, V C",2
"BalintKurti, Peter J",22
"Ballesteros, Daniel",2
"Barnaby, Jinyoung Yang",1
"Baumgartner, Kendra",7
"Baxter, Ivan",3
"Beaulieu, John C",1
"Bechere, Efrem",4
"Beck, John J",4
"Beegum, Sahila",4
"Beets, Jens P",1
"Beissinger, Timothy M",1
"Bellaloui, Nacer",21
"Bernacchi, Carl J",13
"Best, Norman B",4
"Bethke, Paul C",1
"Bhandari, Ammar B",1
"Bilyeu, Kristin D",6
"Blair, Matthew W",1
"Blank, Robert R",2
"Block, Anna K",16
"Blumenthal, Dana M",1
"Bonman, J M",4
"Brandl, M T",1
"Bregitzer, Phil",5
"Broadhurst, Catherine L",1
"Brooks, Matthew D",2
"BrownGuedira, Gina",1
"Browne, Greg T",2
"Bruckart, William L",1
"Brunet, Johanne",7
"Bruns, H Arnold",2
"Buckler, Edward S",3
"Burkey, Kent O",1
"Burks, Charles S",1
"Bushman, B Shaun",4
"Butler, Nathaniel M",1
"CadleDavidson, Lance",12
"Cai, Guohong",3
"Cai, Xiwen",4
"Calla, Bernarda",3
"Callahan, Ann M",1
"Campbell, B Todd",4
"Cannon, Ashley E",1
"Cannon, Steven B",7
"Cantrell, Charles L",4
"Carter, Thomas E",4
"Cerven, Vasile",1
"Chamberlin, Kelly",5
"Chaney, Rufus L",1
"Chang, Christine YaoYun",1
"Chen, Chunxian",1
"Chen, Junping",2
"Chen, Weidong",1
"Chen, Xianming",12
"Chitwood, David J",1
"Chowdhury, Rawnaq N",1
"Christensen, Shawn A",5
"Cichy, Karen A",10
"Cilia, Michelle",4
"Cloonan, Kevin R",1
"Clough, Steven J",2
"Clyde, Douglas Boyette",2
"Coates, Brad S",7
"Codling, Eton E",10
"Colegate, Steven M",3
"Cook, Daniel",1
"Cooper, W Rodney",6
"Copeland, Stella M",1
"Copes, Warren E",3
